perc_improvement_tx,perc_improvement_death,hr_tx_dsa_inc,hr_tx_dsa_prev,hr_death_dsa_inc,hr_death_dsa_prev
-0.4,-0.4,2.212,1.974,0.798,1.848
-0.35,-0.4,2.133,1.9035,0.798,1.848
-0.3,-0.4,2.054,1.833,0.798,1.848
-0.25,-0.4,1.975,1.7625,0.798,1.848
-0.2,-0.4,1.896,1.692,0.798,1.848
-0.15,-0.4,1.817,1.6215,0.798,1.848
-0.1,-0.4,1.738,1.551,0.798,1.848
-0.05,-0.4,1.659,1.4805,0.798,1.848
0,-0.4,1.58,1.41,0.798,1.848
0.05,-0.4,1.501,1.3395,0.798,1.848
0.1,-0.4,1.422,1.269,0.798,1.848
0.15,-0.4,1.343,1.1985,0.798,1.848
0.2,-0.4,1.264,1.128,0.798,1.848
0.25,-0.4,1.185,1.0575,0.798,1.848
0.3,-0.4,1.106,0.987,0.798,1.848
0.35,-0.4,1.027,0.9165,0.798,1.848
0.4,-0.4,0.948,0.846,0.798,1.848
-0.4,-0.35,2.212,1.974,0.7695,1.782
-0.35,-0.35,2.133,1.9035,0.7695,1.782
-0.3,-0.35,2.054,1.833,0.7695,1.782
-0.25,-0.35,1.975,1.7625,0.7695,1.782
-0.2,-0.35,1.896,1.692,0.7695,1.782
-0.15,-0.35,1.817,1.6215,0.7695,1.782
-0.1,-0.35,1.738,1.551,0.7695,1.782
-0.05,-0.35,1.659,1.4805,0.7695,1.782
0,-0.35,1.58,1.41,0.7695,1.782
0.05,-0.35,1.501,1.3395,0.7695,1.782
0.1,-0.35,1.422,1.269,0.7695,1.782
0.15,-0.35,1.343,1.1985,0.7695,1.782
0.2,-0.35,1.264,1.128,0.7695,1.782
0.25,-0.35,1.185,1.0575,0.7695,1.782
0.3,-0.35,1.106,0.987,0.7695,1.782
0.35,-0.35,1.027,0.9165,0.7695,1.782
0.4,-0.35,0.948,0.846,0.7695,1.782
-0.4,-0.3,2.212,1.974,0.741,1.716
-0.35,-0.3,2.133,1.9035,0.741,1.716
-0.3,-0.3,2.054,1.833,0.741,1.716
-0.25,-0.3,1.975,1.7625,0.741,1.716
-0.2,-0.3,1.896,1.692,0.741,1.716
